depth_norm,modality,animal_ID,experiment_ID
597.1294,gated,1.0,1.0
596.0536,gated,1.0,1.0
595.9769,gated,1.0,1.0
573.3071,auditory,1.0,1.0
567.29114,non-responsive,1.0,1.0
565.31494,non-responsive,1.0,1.0
566.60583,auditory,1.0,1.0
561.3682,gated,1.0,1.0
554.8341,non-responsive,1.0,1.0
546.2427,gated,1.0,1.0
559.24176,non-responsive,1.0,1.0
546.08386,non-responsive,1.0,1.0
544.12036,non-responsive,1.0,1.0
543.69617,non-responsive,1.0,1.0
530.86035,non-responsive,1.0,1.0
525.66205,gated,1.0,1.0
516.4041,gated,1.0,1.0
512.4473,non-responsive,1.0,1.0
506.87076,non-responsive,1.0,1.0
504.4802,non-responsive,1.0,1.0
489.43204,non-responsive,1.0,1.0
493.6591,non-responsive,1.0,1.0
482.1106,non-responsive,1.0,1.0
445.7839,auditory,1.0,1.0
449.65045,non-responsive,1.0,1.0
439.67023,non-responsive,1.0,1.0
434.25714,non-responsive,1.0,1.0
432.88593,non-responsive,1.0,1.0
430.30017,gated,1.0,1.0
408.193,non-responsive,1.0,1.0
403.44077,non-responsive,1.0,1.0
407.01523,gated,1.0,1.0
402.4331,non-responsive,1.0,1.0
397.42075,non-responsive,1.0,1.0
392.37372,non-responsive,1.0,1.0
392.8193,non-responsive,1.0,1.0
385.68655,gated,1.0,1.0
375.64816,non-responsive,1.0,1.0
354.3031,gated,1.0,1.0
349.17325,auditory,1.0,1.0
348.57834,auditory,1.0,1.0
344.5487,gated,1.0,1.0
318.721,non-responsive,1.0,1.0
308.8196,non-responsive,1.0,1.0
307.76422,gated,1.0,1.0
305.33908,visual,1.0,1.0
300.25427,non-responsive,1.0,1.0
299.74014,auditory,1.0,1.0
279.33316,non-responsive,1.0,1.0
270.17682,non-responsive,1.0,1.0
244.97601,visual,1.0,1.0
227.72406,gated,1.0,1.0
212.0562,audio-visual,1.0,1.0
206.40417,visual,1.0,1.0
203.12582,audio-visual,1.0,1.0
203.11191,visual,1.0,1.0
197.20561,gated,1.0,1.0
197.70422,visual,1.0,1.0
191.66856,visual,1.0,1.0
186.90297,audio-visual,1.0,1.0
181.72192,gated,1.0,1.0
179.25546,visual,1.0,1.0
172.39061,visual,1.0,1.0
166.22621,visual,1.0,1.0
151.62512,non-responsive,1.0,1.0
148.82538,audio-visual,1.0,1.0
142.15521,gated,1.0,1.0
136.38434,non-responsive,1.0,1.0
137.65306,gated,1.0,1.0
121.84733,audio-visual,1.0,1.0
240.8421,non-responsive,1.0,1.0
221.16025,visual,1.0,1.0
219.66083,visual,1.0,1.0
644.0472,auditory,1.0,5.0
635.0288,gated,1.0,5.0
632.0914,non-responsive,1.0,5.0
622.2894,non-responsive,1.0,5.0
613.2688,non-responsive,1.0,5.0
586.14014,non-responsive,1.0,5.0
596.5274,non-responsive,1.0,5.0
578.99524,non-responsive,1.0,5.0
572.3796,non-responsive,1.0,5.0
574.2391,non-responsive,1.0,5.0
559.7186,gated,1.0,5.0
554.18427,non-responsive,1.0,5.0
536.4355,non-responsive,1.0,5.0
518.4791,non-responsive,1.0,5.0
507.93854,non-responsive,1.0,5.0
498.87445,non-responsive,1.0,5.0
486.2608,non-responsive,1.0,5.0
487.2348,non-responsive,1.0,5.0
483.377,non-responsive,1.0,5.0
486.5834,non-responsive,1.0,5.0
481.2361,non-responsive,1.0,5.0
474.84265,non-responsive,1.0,5.0
462.4929,non-responsive,1.0,5.0
463.79767,non-responsive,1.0,5.0
451.32858,non-responsive,1.0,5.0
449.1003,non-responsive,1.0,5.0
449.28506,non-responsive,1.0,5.0
441.3417,gated,1.0,5.0
439.81815,auditory,1.0,5.0
436.48932,non-responsive,1.0,5.0
434.61383,non-responsive,1.0,5.0
445.32706,non-responsive,1.0,5.0
431.18942,non-responsive,1.0,5.0
418.1444,non-responsive,1.0,5.0
406.97858,auditory,1.0,5.0
400.43564,non-responsive,1.0,5.0
390.80765,non-responsive,1.0,5.0
389.0783,non-responsive,1.0,5.0
351.43274,non-responsive,1.0,5.0
353.71573,non-responsive,1.0,5.0
344.83685,non-responsive,1.0,5.0
340.05148,non-responsive,1.0,5.0
328.09897,non-responsive,1.0,5.0
304.1957,non-responsive,1.0,5.0
279.41183,non-responsive,1.0,5.0
263.38815,gated,1.0,5.0
258.12927,gated,1.0,5.0
249.24936,gated,1.0,5.0
244.20784,visual,1.0,5.0
244.03877,non-responsive,1.0,5.0
237.5188,non-responsive,1.0,5.0
231.0421,non-responsive,1.0,5.0
225.13336,non-responsive,1.0,5.0
224.73813,gated,1.0,5.0
207.0026,gated,1.0,5.0
193.31421,visual,1.0,5.0
190.89282,gated,1.0,5.0
518.97943,non-responsive,1.0,5.0
514.4822,non-responsive,1.0,5.0
451.22223,non-responsive,1.0,5.0
380.4249,gated,2.0,6.0
356.0776,visual,2.0,6.0
349.27286,gated,2.0,6.0
334.50082,non-responsive,2.0,6.0
272.53348,non-responsive,2.0,6.0
260.05685,non-responsive,2.0,6.0
166.61789,non-responsive,2.0,6.0
156.84167,visual,2.0,6.0
155.32756,visual,2.0,6.0
155.24863,non-responsive,2.0,6.0
71.63164,audio-visual,2.0,6.0
632.6472,non-responsive,2.0,7.0
623.0851,audio-visual,2.0,7.0
616.95905,auditory,2.0,7.0
612.6766,auditory,2.0,7.0
609.8065,gated,2.0,7.0
603.2439,non-responsive,2.0,7.0
603.42926,non-responsive,2.0,7.0
595.8577,auditory,2.0,7.0
595.5624,non-responsive,2.0,7.0
584.7723,auditory,2.0,7.0
578.961,gated,2.0,7.0
579.5467,gated,2.0,7.0
577.41754,auditory,2.0,7.0
573.4829,auditory,2.0,7.0
555.68463,non-responsive,2.0,7.0
553.7892,gated,2.0,7.0
541.87866,non-responsive,2.0,7.0
535.0726,gated,2.0,7.0
537.58704,audio-visual,2.0,7.0
528.6404,auditory,2.0,7.0
524.2198,audio-visual,2.0,7.0
518.70087,auditory,2.0,7.0
513.8483,audio-visual,2.0,7.0
501.0894,non-responsive,2.0,7.0
500.7443,non-responsive,2.0,7.0
495.02164,auditory,2.0,7.0
487.58627,auditory,2.0,7.0
485.9582,non-responsive,2.0,7.0
483.66995,gated,2.0,7.0
471.90555,auditory,2.0,7.0
471.35776,non-responsive,2.0,7.0
476.58362,audio-visual,2.0,7.0
455.6977,auditory,2.0,7.0
451.5926,visual,2.0,7.0
441.54617,non-responsive,2.0,7.0
414.43973,gated,2.0,7.0
398.5245,non-responsive,2.0,7.0
381.51486,non-responsive,2.0,7.0
377.72122,visual,2.0,7.0
368.48584,non-responsive,2.0,7.0
356.92017,non-responsive,2.0,7.0
351.9999,gated,2.0,7.0
339.20038,gated,2.0,7.0
324.52963,visual,2.0,7.0
303.31137,visual,2.0,7.0
294.3446,visual,2.0,7.0
292.93735,audio-visual,2.0,7.0
297.43518,visual,2.0,7.0
294.99655,visual,2.0,7.0
286.01556,auditory,2.0,7.0
274.61047,visual,2.0,7.0
271.1758,visual,2.0,7.0
266.39035,visual,2.0,7.0
258.28,audio-visual,2.0,7.0
254.8982,visual,2.0,7.0
242.42322,visual,2.0,7.0
231.61647,visual,2.0,7.0
227.15565,audio-visual,2.0,7.0
210.51178,visual,2.0,7.0
208.64932,visual,2.0,7.0
196.81209,visual,2.0,7.0
182.51582,visual,2.0,7.0
172.65376,audio-visual,2.0,7.0
166.48743,audio-visual,2.0,7.0
163.4845,visual,2.0,7.0
158.82205,gated,2.0,7.0
572.9015,gated,2.0,7.0
653.54407,non-responsive,2.0,8.0
627.0753,non-responsive,2.0,8.0
618.8019,non-responsive,2.0,8.0
617.3471,auditory,2.0,8.0
616.663,non-responsive,2.0,8.0
603.1699,gated,2.0,8.0
603.86035,non-responsive,2.0,8.0
593.1253,visual,2.0,8.0
580.35016,auditory,2.0,8.0
575.0526,non-responsive,2.0,8.0
575.0902,visual,2.0,8.0
571.8085,non-responsive,2.0,8.0
553.7456,non-responsive,2.0,8.0
542.43066,non-responsive,2.0,8.0
541.7702,gated,2.0,8.0
538.15936,gated,2.0,8.0
533.385,non-responsive,2.0,8.0
531.50415,non-responsive,2.0,8.0
531.2906,gated,2.0,8.0
523.1357,non-responsive,2.0,8.0
514.00354,gated,2.0,8.0
513.49896,non-responsive,2.0,8.0
505.8498,non-responsive,2.0,8.0
503.6334,non-responsive,2.0,8.0
493.162,non-responsive,2.0,8.0
491.66205,non-responsive,2.0,8.0
475.34372,gated,2.0,8.0
480.78268,non-responsive,2.0,8.0
474.8121,non-responsive,2.0,8.0
469.70956,non-responsive,2.0,8.0
455.14645,non-responsive,2.0,8.0
449.83728,non-responsive,2.0,8.0
425.89105,non-responsive,2.0,8.0
425.69962,gated,2.0,8.0
402.3714,non-responsive,2.0,8.0
396.89874,visual,2.0,8.0
366.14313,visual,2.0,8.0
367.20056,visual,2.0,8.0
360.37112,non-responsive,2.0,8.0
356.32962,audio-visual,2.0,8.0
338.89404,visual,2.0,8.0
325.9413,non-responsive,2.0,8.0
312.63818,non-responsive,2.0,8.0
306.49203,audio-visual,2.0,8.0
308.60532,non-responsive,2.0,8.0
306.56433,visual,2.0,8.0
293.71,gated,2.0,8.0
276.39212,visual,2.0,8.0
273.52823,visual,2.0,8.0
270.39694,visual,2.0,8.0
264.8974,visual,2.0,8.0
266.42758,audio-visual,2.0,8.0
270.14774,non-responsive,2.0,8.0
261.1386,visual,2.0,8.0
256.4218,audio-visual,2.0,8.0
258.31555,audio-visual,2.0,8.0
253.27,visual,2.0,8.0
657.24603,non-responsive,2.0,8.0
615.91895,non-responsive,2.0,9.0
608.89557,non-responsive,2.0,9.0
608.1468,non-responsive,2.0,9.0
603.39087,non-responsive,2.0,9.0
600.8261,non-responsive,2.0,9.0
594.79584,non-responsive,2.0,9.0
589.1166,auditory,2.0,9.0
589.7856,non-responsive,2.0,9.0
580.3721,non-responsive,2.0,9.0
581.2081,non-responsive,2.0,9.0
564.03876,non-responsive,2.0,9.0
544.7215,non-responsive,2.0,9.0
546.7226,non-responsive,2.0,9.0
541.30444,non-responsive,2.0,9.0
536.00964,gated,2.0,9.0
536.4742,non-responsive,2.0,9.0
503.96118,non-responsive,2.0,9.0
492.50986,non-responsive,2.0,9.0
495.98218,non-responsive,2.0,9.0
486.34457,visual,2.0,9.0
482.20325,non-responsive,2.0,9.0
478.74976,auditory,2.0,9.0
479.01236,non-responsive,2.0,9.0
462.1349,non-responsive,2.0,9.0
453.80276,non-responsive,2.0,9.0
453.48648,non-responsive,2.0,9.0
448.7931,non-responsive,2.0,9.0
442.89453,non-responsive,2.0,9.0
444.06546,non-responsive,2.0,9.0
437.54153,non-responsive,2.0,9.0
426.0587,non-responsive,2.0,9.0
420.84558,non-responsive,2.0,9.0
400.3317,non-responsive,2.0,9.0
394.16785,non-responsive,2.0,9.0
383.6018,non-responsive,2.0,9.0
343.82266,gated,2.0,9.0
322.8489,non-responsive,2.0,9.0
303.40152,non-responsive,2.0,9.0
251.92068,visual,2.0,9.0
239.04295,visual,2.0,9.0
225.8958,gated,2.0,9.0
208.69888,visual,2.0,9.0
198.27304,visual,2.0,9.0
176.00383,visual,2.0,9.0
171.66692,visual,2.0,9.0
170.08156,non-responsive,2.0,9.0
164.14728,non-responsive,2.0,9.0
149.99687,non-responsive,2.0,9.0
152.06964,gated,2.0,9.0
134.25172,visual,2.0,9.0
115.55602,non-responsive,2.0,9.0
455.0049,non-responsive,2.0,9.0
659.05505,auditory,3.0,10.0
657.8653,gated,3.0,10.0
651.7239,non-responsive,3.0,10.0
636.0912,non-responsive,3.0,10.0
637.2178,non-responsive,3.0,10.0
631.04395,non-responsive,3.0,10.0
628.77563,non-responsive,3.0,10.0
626.48035,non-responsive,3.0,10.0
617.08014,non-responsive,3.0,10.0
612.0053,non-responsive,3.0,10.0
617.7141,non-responsive,3.0,10.0
599.7936,auditory,3.0,10.0
566.8266,gated,3.0,10.0
569.2109,auditory,3.0,10.0
561.66394,non-responsive,3.0,10.0
